weight,word,url
10,practical,http://www.practopians.org/tags/practical.html
10,utopian,http://www.practopians.org
8,balance,http://www.practopians.org/tags/balance.html
8,integral,http://www.practopians.org/tags/integral.html
6,critical~thinking,http://www.practopians.org/tags/critical-thinking.html
6,cultural~evolution,http://www.practopians.org/tags/cultural-evolution.html
6,humanism,http://www.practopians.org/tags/humanism.html
6,love,http://www.practopians.org/tags/love.html
4,art,http://www.practopians.org/tags/art.html
4,equality,http://www.practopians.org/tags/equality.html
4,individuals,http://www.practopians.org/tags/individuals.html
4,liberty,http://www.practopians.org/tags/liberty.html
4,progress,http://www.practopians.org/tags/progress.html
4,science,http://www.practopians.org/tags/science.html
4,society,http://www.practopians.org/tags/society.html
4,written~word,http://www.practopians.org/tags/written-word.html
3,connection,http://www.practopians.org/tags/connection.html
3,education,http://www.practopians.org/tags/education.html
3,governance,http://www.practopians.org/tags/governance.html
3,mission,http://www.practopians.org/tags/mission.html
3,rule~of~law,http://www.practopians.org/tags/rule-of-law.html
3,sustainability,http://www.practopians.org/tags/sustainability.html
3,systemic,http://www.practopians.org/tags/systemic.html
3,value creation,http://www.practopians.org/tags/value-creation.html
3,wonder,http://www.practopians.org/tags/wonder.html
2,democracy,http://www.practopians.org/tags/democracy.html
2,diversity,http://www.practopians.org/tags/diversity.html
2,evolution,http://www.practopians.org/tags/evolution.html
2,parenthood,http://www.practopians.org/tags/parenthood.html
2,population,http://www.practopians.org/tags/population.html
1,imperfection,http://www.practopians.org/tags/imperfection.html
1,property,http://www.practopians.org/tags/property.html
1,religion,http://www.practopians.org/tags/religion.html
1,stories,http://www.practopians.org/tags/stories.html
1,tools,http://www.practopians.org/tags/tools.html